ID,MFACTOR,EFACTOR,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,STATUS
215,22,C,6.481,6.325,6.557,6.481,6.633,6.325,5.568,4.796,5,4.796,5.477,5.385,5.568,5.385,5.657,5.292,5.099,5.099,4.69,4.472,4.796,4.69,4.69,4.359,4,4.583,4.472,4.123,4.359,4.472,4.123,4,4.243,4.243,2,3.873,2
216,22,A,1.732,1.414,1.732,1.732,1.732,1.732,1.732,1.414,1.732,1.414,1.414,1.414,1.414,1.414,1.414,1.732,1.414,1.414,1.732,1.414,1,1,1.414,1,1.414,1.732,1.732,1.732,1.414,1.414,1.414,1.732,1.414,1.414,1.414,1.414,0
217,22,B,3.606,3.873,3.464,3.464,3.162,3.317,2.828,3.317,3.317,3.162,3.464,3.317,3.873,2.646,3.606,3.317,4.243,3.162,3.606,3.464,4.123,3.162,4,3.606,3.464,3.464,3.742,3.606,3.742,3.162,4.123,3.873,3.162,3.606,3.162,3.742,0
218,22,B,3,3.606,2.449,3.464,3.464,3.873,3,3.606,3.317,3.464,3.464,3,3.317,3.606,3.606,3.464,3.464,3.606,3.606,3.606,3.873,3.317,3.606,4.472,4.123,3.606,3,2.646,3.162,3,3.162,2.828,3.162,2.828,3.606,3,0
219,3,C,4,3.873,4,4.359,4.359,3.873,3.742,4.69,4.123,4,3.742,4,3.873,3.873,4,4.123,4.472,4.472,4.69,5,5,4.796,4.899,5,5.099,4.796,4.899,5,5.292,4.796,4.899,5,5,4.69,4.796,5,0
220,22,B,2.828,3,3,3.317,2.828,3,2.828,3.162,2.828,2.828,3,3,2.828,3,3,2.828,2.646,2.828,2.449,2.828,2.646,2.646,2.646,2.828,2.646,2.646,2.646,2.828,2.646,2.646,2.449,2.646,2.646,2.646,2.646,2.449,0
221,22,B,3.606,3,2.828,2.828,3,2.646,2.828,2.236,2.646,2.449,2.828,2.646,3.162,2.828,2.449,2.449,2.646,2.449,2.646,2.828,2.646,2.828,2.646,2.646,3.162,2.646,2.646,2.828,2.828,2.646,3.162,3,3,2.646,2.449,2.828,0
222,46,B,3,3,3.162,3,3.317,3.464,2.646,3,2.828,3.464,2.828,2.828,3.162,2.828,3.317,2.646,3.162,3.464,2.828,3,2.646,2.828,2.646,3,2.646,2.646,3,2.828,2.828,2.828,2.828,2.828,3,3,2.828,3,0
223,3,B,4,4.472,4.123,4.243,4,2.236,2.828,3.162,2.828,3,3.317,3,3.162,3.464,3.464,3.162,3,3.873,4.359,3.742,3.873,4,4.243,3.873,4,3.742,3.742,4.359,4.123,3.742,4.123,4,4.243,4.899,4.243,2.828,1
224,2,B,5.657,5.099,5.099,3.742,5.831,4.69,5.292,3.317,3.464,3,3,2.449,2.449,2.236,2.449,2.646,1.732,2.449,1.732,1.414,2.449,1.732,1.732,1.732,3.606,2,2.236,2.828,1.732,1.732,1.414,1.732,1.732,1.414,1.732,2.236,0
