ID,MFACTOR,EFACTOR,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,STATUS
100,22,B,2.828,2.828,3.162,2.646,2.828,2.449,2.828,3,2.646,2.646,3.742,2.646,2.828,2.828,2.646,3.873,2.828,2.828,2.449,3.742,2.828,3,2.828,3,2.646,3,3.606,2.646,2.828,2.646,2.646,2.449,2.646,2.449,2.646,2.646,1
101,22,B,1.414,1.414,1,1.414,1.414,1.732,1.414,1.414,1.414,1.414,1.732,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.732,1.414,1.732,1.414,1.732,1.414,1.414,1.414,1.732,1.414,1.732,1.414,1.414,1.732,1.732,1.732,1.414,1.732,2
102,46,B,2.236,2.236,1.732,2,2.449,2.236,1.732,2.646,1.732,2.646,2,2.828,1.414,2,2,1.732,2.449,3.162,1.414,6.856,3.742,3,2.449,4.243,3.162,3.606,3.742,3,3.742,1.732,3.317,2.449,3.317,2.646,2.646,3,2
103,22,B,3.317,3.162,2.828,2.828,2.828,2.646,2.646,2,2,2.449,2.236,2.236,2.646,2.236,2.236,2.449,2.449,2.236,2.449,2.646,2.449,2.449,2.646,2.449,2.449,2.646,2.646,2.449,2.236,2.449,2.449,2.449,2.449,2.449,2.449,2.449,1
104,22,B,1.732,2,1.732,2.236,2.449,1.732,2.236,2.236,3.162,2.236,2.236,2.236,2,2.236,2.236,2.236,2.236,3.162,2.646,2.646,2.646,2.828,2.646,2.646,2.828,2.828,5.385,3,2.646,2.828,3,2.828,2.646,2.646,3.464,3.162,2
105,22,B,2.449,1.414,2.828,2,2.646,3.162,1.414,1.732,4.123,2.828,2.236,2.449,1.414,2.828,2.828,2.646,2.646,2.236,1,2,2,5.916,5,3.742,1,2.236,2.236,1.732,2.236,2.646,1.414,2,2,2,2,2.449,1
106,22,B,2,2.236,2.828,2.236,2.646,2.449,3.162,2,2.236,2.646,2.449,2.236,2.449,2.236,2.236,2.236,2.236,2.236,2,2.646,2.236,2.236,2.236,2.236,2.236,2,2.828,2.449,2,2.236,2,2.236,2,1.414,2,2,2
107,22,B,1.732,3,2.646,3.162,2.828,4,2.449,2.236,4,3.162,2.449,3.606,2.449,2.449,2.646,3.162,3.317,3.162,3,2.449,2,2.828,2.828,1.732,2.646,2.449,3,2,3.464,3,3.162,1.414,3.873,2.236,2.646,1.732,0
108,22,B,3.162,2.449,3.162,2.828,3.317,3,2.828,3,2.828,2.828,2.646,3.873,2.828,2.828,2,2.828,2.646,3.162,2.828,2.828,3,3,3,2.646,2.828,2.236,2,2.646,2.646,2.828,2.646,2.646,2.646,3.742,2.828,2.646,1
109,22,B,1.414,1.414,1.732,1,2.236,2.646,2.236,1.732,1,2.236,2,1.732,1,1.732,1.732,2,1.732,1.732,2,1.732,1.732,2,2,2.236,1.732,1.732,1.732,2,1.732,2,2.236,1.414,2.236,2.236,2.646,2.449,1
110,22,B,2.236,2.828,2.828,2.646,2.828,2.828,2.828,2.828,2.449,2.646,3.317,2.646,2.646,2.828,2.449,2.828,2.646,2.646,2.646,2.646,2.646,2.828,2.646,2.646,2.828,2.828,2.646,3,2,2,1.414,1.732,1.732,1.414,1.732,1.414,2
111,22,B,2,1.732,2,1,2.236,2.236,2.236,2,2.236,2.828,3.464,2.646,2.449,2.646,2.449,3,2.646,3,2.449,2.646,2.449,2.449,2.449,2.449,2.449,2.449,2.236,2.236,2.236,2.236,2.236,2.236,2.236,2.236,2.236,2.236,2
112,22,B,3.162,3.317,3.317,3.464,3.317,3.464,3.606,3.317,3.317,3.606,3.742,3.464,2.828,3,3,3.317,3.606,3.742,3.606,3.464,3.464,3.606,3.317,3.606,3.162,3.742,3.317,3.162,4.472,4.583,3.464,3.606,3.317,3.162,3.317,3.162,1
113,46,B,1.732,2,2.236,2.449,2.646,3.464,2.236,2.449,2,2.236,2,2.449,3,2.828,2.236,2.646,1.732,1.732,1.732,1.732,2,1.732,2.646,2,1.732,1.414,2.236,2.449,2.449,2.646,2.828,2.646,2.828,2.828,2.449,2.236,2
114,22,B,3.606,3.606,3.464,3.606,3.606,3.464,3.606,3,3.606,3.464,3.464,3.742,3.464,3.464,3.317,3.606,3.464,3.317,3.464,3.464,3.606,3.317,3.464,3.317,3.317,3.317,3.317,3,3.742,3.162,3,3.317,3.162,3.162,3.317,3.606,1
115,22,B,1.732,1.732,1,1.732,1.414,1,1.732,1,1.732,1.414,1.414,1,2.236,2,1.732,1.732,1.414,1.732,1.414,1,1.414,1,1,1.414,1,1.732,1.414,1,1,1,1,1,1.414,1,1,1.414,2
116,22,B,2.828,3.464,2.646,2.828,2.236,3,2.449,2.646,2.236,3.162,3,1.414,3.873,3.317,2.828,4,2.646,2.828,2,2.828,2.236,2.646,2.236,2.449,2.828,2.449,2.236,2.828,3,2.646,2.236,2.828,3.317,2,2,3.162,1
117,22,B,2.828,2.828,2.828,2.449,2,2.828,2.646,2.449,2.449,2.646,2.646,2.646,2.646,2.828,2.828,2.449,2.828,2.236,3,2.646,3,3.317,3.317,3.162,3.317,3.317,3,3.317,3.317,3.162,3.317,3.162,3,2.449,1.414,5.292,2
118,2,B,1.414,2.449,2.449,2.449,2.449,2.449,1.732,2.449,2.449,5.292,2.449,2.449,2.449,5.385,2.449,2.449,2.449,2.236,3,1.732,2,2.236,2.236,2.236,2.236,2.236,2.236,2.236,4.123,2.236,2.236,2.236,2,2.449,1,2.236,1
119,2,B,2.828,2.646,3.162,1.732,2,1.414,2,1.732,2.646,2,2.646,2.236,2,2.646,2.449,2.236,2.236,1.732,2.828,2,2.449,2.646,2.449,2.449,2.449,2.236,2.449,2.236,1.732,3,1.414,1.732,2,1.732,1.732,1.732,2
120,22,B,2.828,3.162,3.317,3.162,3.162,3.317,3.162,3.317,3,3.162,3.317,3,3.162,3.464,3.317,3.162,3.162,3.742,3,3,2.828,2.828,4.123,3.317,3,3.162,3.162,3.317,3.162,3.317,3,3.464,3.162,3,3.162,3.162,2
121,22,B,2,1.414,2.236,4.69,2,2.646,2.236,1.414,2.236,2.449,2,3,2,2.236,2.236,1.414,2,1.414,2.236,1.732,1.732,1.414,1,3.317,2.236,1,1.732,1,1.732,1.414,1.732,1.414,1.732,1.732,1,1.414,2
122,46,B,3,2.828,3.464,3,3,2.828,2.828,2.828,2.828,2.828,2.828,3,2.646,2.828,3.317,2.449,2.449,2.828,2.828,2.236,2.449,2.828,2.646,2.646,3,2.828,2.828,3.162,3.317,2.828,2.828,2.828,2.828,3.317,3.317,2.828,0
123,22,B,4.472,4.899,5,6.928,8.185,8.246,5.196,5.196,5.099,4.796,5.196,5.568,5.657,5.657,5.916,5.477,5.292,5.657,5.831,5.099,5.477,5.745,5.745,5.477,5.477,5.568,6.856,6.164,5.745,8.485,5.568,8.062,5.196,5.292,5,5.196,0
124,22,B,2,2,2.646,2.449,3,2.236,2,2.236,2.449,2.236,2.236,1.414,2.236,3,2.236,1.414,1,2.449,2,1.732,1.732,1.732,1.732,1.732,1.732,1.414,1.732,1.732,1.732,1.732,1.732,1.732,1.732,2,1.414,1.414,0
125,46,B,2.449,2.828,3.317,3.606,4,4.796,2.646,2.449,3.464,3,4.123,3.873,4.243,3.317,3.162,2.828,2.646,3,3.873,2.449,3.606,3.162,4.123,3.162,2.828,2.449,3.317,2.828,2.646,2.449,2.449,2.646,2.449,2.449,2.449,2.449,1
126,22,B,4.359,3.317,3.317,2.828,2.828,2.646,3.606,4.359,3.464,4.123,4,5,3.162,2.646,2.449,3,3.317,3.317,3.464,4,3.606,3.742,2.646,2.828,4.123,3.317,3.606,4.123,4.472,3.464,3.606,3.464,4.359,3.162,3.606,4.123,1
127,22,A,3.464,3.606,3.873,3.742,3.742,3.464,3.162,3.464,3.317,3.162,3.162,3.464,3.606,3.742,3.873,3.873,4,3.606,3.464,3.742,4.123,7.681,4.359,4.243,4.123,3.606,3.742,4.243,4.243,4.243,4.243,4.472,4.123,4.243,3.873,3.464,1
128,22,A,3,3.317,3,2.828,4.899,3.317,3.317,3.464,3,2.828,3,3,3,2.828,2.828,3,3.317,3.162,7.416,3.464,3.464,3.464,3.606,5.196,4.123,3.464,2.828,3.162,2.828,2.828,5.292,6.164,6,6.557,6.325,7.141,0
129,22,A,3.464,3.162,2.828,2.646,2.449,2,2.236,1,1.414,1,3.162,2.449,2,2.646,2.646,2.646,2.449,2.828,3,3.317,3.162,3.162,3,1.732,2,2.646,3.162,3.742,2,1,3,3.162,2.828,3,3.162,3.317,1
130,22,B,3.464,3.162,3.464,3.317,3.317,3.162,3.464,3.162,3.317,3.162,3.162,3.742,3.606,3.162,3.742,2.828,3.317,3.464,3.162,2.828,3.317,2.646,2.828,3,3.162,2.646,2.828,3.162,3.464,2.828,3.464,2.646,3.162,1.732,2.646,2.828,2
131,22,B,5.831,4.243,3.873,6.557,4,4,4.359,1,4.899,4.472,3.464,3.317,2.646,2.449,2.449,2.236,2.828,2.236,3.606,2.646,2.828,3.317,2.646,2.828,2.646,2.449,2.449,2.646,2.449,2.449,3,3,3,2.646,2,1,0
132,22,B,4,3.162,3.873,3.464,3.606,3.873,3.464,4,4,3.606,3.742,3.873,3.317,3.464,3.317,3.464,3.464,3.606,3.464,3.317,3.464,3.464,3.464,3.317,2,2.828,2.828,2.828,3.162,3.317,4.243,3.464,3.317,3.317,3.464,3.464,1
133,22,B,3.317,3.317,3,2.646,2.449,2.449,2.646,2.449,2.449,2.236,2.449,3,2.828,2.646,2.646,2.236,2.236,2,2.236,2,2,1.732,1.732,2.236,2.449,2,2,4.243,3.464,3.317,3,2.646,2.828,2.828,2.828,3.317,0
134,22,B,2.449,3.464,2.449,2.646,2.828,2.646,3,2.828,2.646,2.449,2.646,2.646,2.828,2.646,2.828,2.646,2.828,2.449,2.449,2.449,2.449,2.449,2.646,2.449,2.449,2.449,2.449,2.646,2.646,2.449,2.646,2.646,2.449,2.646,2.449,2.449,2
135,22,B,3.873,4,3.873,3.606,3.606,3.162,3.317,3.162,3.317,3.162,3.317,3.464,3.162,2.828,3.162,3.162,2.646,2.828,2.828,3,2.828,2.828,2.646,3.464,2.449,3,3.162,3.464,3,2.646,2.828,2.828,3,3.162,3,2.236,1
136,2,B,2.236,2,2,2,2.236,2,2,2,2,2,2,2,2.236,2,2,2,2,2,2,1.732,2,2.236,2,2,2.236,2,2,2,2.236,2,1.732,2.449,2,1.732,2.236,1.732,2
137,22,B,3.162,3.162,3.162,3.162,3.162,3.162,3.162,3.317,3.162,3.162,3.317,3.162,3.317,3.162,3,1.414,2.646,3.464,3.162,3,3.162,3,3.317,3,3,3.317,3,3.317,3.317,3,3.162,3,3,3,3,3,2
138,22,B,2.236,2,2,2,2,2,2,2.236,2,2.236,3.464,2.236,2,2,2,2.236,2,2.236,2.236,1.732,2.236,2,2.236,2,1.732,2,2,2,1.732,2,2,2,2,2,2,1.732,0
139,22,B,4,3.873,4.123,3.742,4,4.123,4.123,3.464,3.464,4.243,4,4.123,3.606,4.69,4.583,4.796,4.583,3.317,2.646,2.828,2.449,3.606,3.606,3.317,4,4.123,5.477,4.243,3.742,4,3.464,3.162,2.449,4.359,4.796,5.568,1
140,46,B,5,4.359,4.69,3.162,3.742,3.742,5.196,4.69,4.796,4.583,4.243,4.796,2.828,5.385,3.317,3.464,4.359,3.317,4.472,3.464,2.449,4.359,1.732,3.162,2.236,2.236,2,1.414,2,2,2,1.732,1.732,2,2.449,2,0
141,22,B,4.69,3.873,3.317,3.317,2.646,4.472,4.69,3.464,4.472,3.606,3.606,3.162,3.873,4.359,3.606,3.464,4.123,3.464,3.742,2.828,4.123,3.606,2.449,3.162,2,3.464,3.162,3,1.414,2.828,2.828,2,2.646,4.69,1.732,2.828,0
142,22,B,2.449,2.449,2.236,2.236,2.236,2.236,2.236,2.236,2,2.236,2.236,2.449,2.236,2.236,2.236,2.236,2.236,2.236,2.236,2,2,2.236,2,2.236,2.449,2.449,2.449,2.236,2,1.732,2.449,2,2.236,2.236,2.236,3.873,0
143,22,B,3.464,3,3.873,3.162,4.359,4.472,4.472,4.243,4.123,3.873,3.873,4.899,5.099,4.243,5.099,4.69,4,4.899,5.657,4.583,3,4,3.162,2.646,5,3.464,5,2.828,2.449,2.449,2.449,2,2,2,1.414,1.732,1
144,97,B,2.646,2.449,2.828,3.464,3.873,2.646,2,2,2.236,2.236,2.236,2.236,2,2.646,1.732,2.236,2,2.236,2.236,2.236,2.236,2,2.236,2.236,2.236,2.449,2.236,2.646,2.449,2.828,3,2,1.732,2,1.732,1.732,1
145,22,B,1.732,2,2.236,2.646,3.742,3.464,1.732,2.236,1,2.646,2.646,1.414,1.414,3.317,3.873,1.732,1.414,2,1.414,1.732,1,2.646,1,1.732,1,1,1,1,1,1,1.414,1.414,1,1,1,2,2
146,22,B,1.732,2.449,2.236,2,2.236,2.236,2.236,2.236,2,1.732,2,2.236,1.732,2.236,2,2.236,3.317,1.732,1.732,2,2,2,2,2,2.449,2.236,1.732,2.236,2,2,2.449,3.317,2.828,2.646,1.732,1.414,2
147,47,B,2.646,2.236,2.828,3.162,2.828,3,2.449,2.828,2.449,3.317,3.464,2.646,3.162,2.646,2.449,2.449,3.162,2,2.449,2,2.236,2.449,2.236,2.449,2.449,2.236,2.449,2,2.236,2.236,2.449,1.414,2.236,2.449,4.472,2.646,1
148,22,B,3.742,3.464,3.606,3.606,3.742,3.606,3.742,3.464,3.317,3.162,3.464,4.359,3.606,3.606,4,3.873,3.162,3.873,4,3.742,4.796,4.243,2.449,1.732,1.732,2,2.236,2.449,2.236,2,2.236,2.449,2.236,2.646,2,2.236,0
149,22,B,3.464,3.464,3.606,3.606,3.606,3.873,3.606,3.873,3.742,2.828,1.414,3.606,3.606,3.606,3.464,3.162,2.828,2.828,3,3,3.162,3.317,3.464,1,3.606,4,3.606,3.873,3.606,4.243,3.873,3.873,3.873,4,3.742,4.123,1
150,22,B,3.606,4,3.606,4.123,4.359,4,4,4.359,3.873,4.123,4.123,4.123,4.123,3.873,3.873,3.873,4,4.243,4.123,3.742,4.123,3.873,4.123,4,4.243,3.742,3.742,3.873,3.742,3.742,3.873,3.606,2.236,2.236,2.449,2.828,0
151,22,B,3.317,2.828,2,3,5.745,2,1.732,1.732,2.236,3.606,2.646,1.414,2,2.236,2,1.732,2,2.449,2.236,2,1.414,2,2.236,2.449,4,1.732,2,1.732,1.732,1.732,1.732,1.732,1.732,2.236,2,1.414,0
152,22,B,3,3.317,4.359,4.123,2.236,2.646,2,2,1.732,2.449,2.236,2.449,2.646,2.646,2.646,1.732,1.732,2.646,2.449,2.449,2.646,2.449,2.449,2.646,2.646,2.646,4.899,3.162,2.449,3,3,3.873,2.236,2.449,2.449,2.449,1
153,46,B,7.28,7.416,6.928,6.928,7.348,7.55,6.782,7.746,7.141,7.483,7.211,6.782,6.782,6.633,6.481,8.485,6.245,5.916,5.745,5.292,5.477,5.657,5.831,5.477,5.196,5.385,6.708,3.873,3.742,3.873,4,4.359,4.123,4.243,4.123,4,2
154,3,C,3.162,3.464,2.236,3.742,2.449,2,2.828,2.449,2.646,2.828,2.646,2,2,2.449,2,2,1.414,2.646,2.449,1.732,1.414,1.414,1.414,2,1.732,2,2.646,2.449,3.464,2.646,1.732,2.828,2.449,2.449,3.162,2.646,1
155,22,B,3.742,4.69,5.745,4.899,3.162,3.464,3.464,3.606,3.742,4.123,4.123,3.742,3.873,5.292,4.472,3.873,4.243,3.873,3.742,4.472,4.472,4.123,4.123,4.359,4.583,4.359,4.359,4,4.69,3.873,4.243,4.796,3.606,5.292,2,3.162,2
156,22,B,6.708,6.481,5.831,5.568,5.831,5.916,5.477,5.099,5,5.292,5.385,5.196,5.568,5,6.708,6.245,4.359,4,4.796,5.385,6.557,6.325,5.385,5.196,5.568,5.916,5.657,6.633,6.481,5.477,5.196,4.899,5.477,4.359,4.472,3.317,1
157,22,B,2.449,1.732,2.236,2.236,2,1.414,2,2.449,2.236,2.449,2.236,2.828,2.236,2.449,1.732,1.732,2.236,2.236,2,2,2.449,2.646,2,2,2.449,1.732,1.414,1.414,1.732,1.414,3.162,2.236,1.732,1.414,1.414,1.414,0
158,22,B,2.449,2.236,2.449,2.236,2.449,2,2.236,2.449,2.236,2.236,2,2.236,2.236,2.236,2,2.236,2,2.449,2.236,2.236,2.236,2.236,2.646,2.828,2,2,2,2,2,2,2.236,2.828,2.646,2.828,2.646,2.646,2
159,22,B,2.236,1.732,2,2,2,2,2,2.236,1.732,2,1.732,2,2,2,2.236,1.732,2,3.873,1.732,2.449,2.236,2,2,2,1.732,2,2,2,1.732,1.732,2,1.732,1.732,1.732,1.732,1.732,2
160,46,B,2,2.236,2,3.464,1.732,2.236,2.449,2.449,2.449,2.236,2.236,2,2.449,2,2.236,2,1.732,2,2.236,2,2,2,1.732,1.732,1.732,1.732,1.414,1.732,1.414,2.449,1.414,1.732,1.414,1.414,1.732,1.414,0
161,22,B,1.414,1.414,1,1.732,1.414,1.732,2.449,1.414,1.414,1.414,1.414,1.414,1.414,2.236,2.236,1.732,1.732,1.732,2.236,2,1.732,1.732,1,1.732,1.414,2,1.732,1.732,1.414,3.464,3.162,2,1.732,4.472,2,1.732,0
162,22,B,2.646,2.449,2.236,2.646,2.828,2.646,2.646,3.317,2.449,2.236,2,2,1.732,2.236,2,1.732,1.732,1.414,1.732,2.449,2.236,2,1.732,2.236,1.732,1.732,2.236,2,2,3.162,1.732,1.414,1.732,2,1.732,2.236,1
163,22,B,2.236,1.732,1.732,1.732,1.732,2,2.828,2,1.414,1.732,1.732,2,1.732,1.732,1.732,1.732,1.732,2.236,1.732,2,1.732,1.414,2,1.414,1.414,1.414,1.414,1.414,2.236,2,1.732,1.732,1.732,1.414,1.414,1,2
164,22,B,2.449,2.646,2.646,2.646,2.236,1.732,2.236,2.646,2.449,2.236,2.236,2.449,2.236,2.646,2.646,2.646,2.449,3,3,2,1.732,2.449,2.449,2.449,2.236,2.449,2.646,3.464,3,2.646,2.236,3.162,2.449,2.646,2.449,1.414,2
165,22,B,2.449,2,2.236,2.236,2.828,2.449,2.236,2.236,2.236,1.732,2.236,2,2,2.236,2.449,2.236,2,1.732,2,2,2.236,1.732,1.414,2.828,2,2,2.236,2.236,2.236,2.236,2.236,2.236,2.236,2.449,2,3.317,0
166,46,B,4.243,3.742,3.873,5.099,5,5,5.099,4.899,5.292,4.899,4.243,3.317,4.243,3.162,3.464,3.464,3.873,3.464,3.464,3.464,4,3,3.464,2.828,3.606,3.162,3.464,2.646,3.464,3.162,3.742,3,3.317,3.162,4.472,1.414,2
167,22,B,3,3.162,2.828,3.162,3.162,3.317,2.646,2.828,3.873,3.606,3,2.828,5.385,2.828,2.236,2.449,2.236,2,3.317,2,2,2.236,1.732,1.732,1.732,1.414,2.236,1.414,1.732,2.646,1.732,1.414,1.732,1.732,1.732,2.646,2
168,22,B,2.236,1.732,1.732,1.732,2,2,2,1.414,1.414,1.732,2,1.414,1.414,1.732,1.414,1.732,1.414,1.414,1.732,1.414,1.414,1.732,1.414,1.414,1.732,1.414,1.732,1.732,1.732,1.414,1.732,2,1.732,1.732,1.414,1.414,0
169,22,B,3.742,3.606,3.464,3.742,3.742,4,3.606,4.796,4.472,4.243,3.742,4,4.243,4.243,4.472,4,4.123,4.359,4.123,3.606,4.243,3.873,4.123,4.243,4.359,4.123,3.606,3.742,3,2.828,3.464,3.606,3,3.162,2.646,2.828,2
170,22,B,2,2.236,2.646,1.732,2.236,2.449,2.449,2.236,1.414,2.828,2.236,2.828,2.828,1.732,2,2.449,2.236,1.414,1.732,2,3.162,1.732,2.646,1.732,3.162,3.162,2,1.414,3.162,1,3,2.828,5.745,4,2.828,2.236,1
171,22,B,3.162,2.449,2.449,2.646,2.449,2.646,1.732,1.414,1.732,1.414,2.236,2.236,2,2.236,2.236,2,2.828,3.317,3.464,3.742,3.317,2.828,2.828,2.236,2.449,2,2.449,2,2,2,2.236,1.732,1.732,2,1.414,2,2
172,22,B,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,2
