ID,Met,Norte,Rio,Sor,Socc,Valor de vivienda,Area,Habitaciones,Garajes,Baños,Casa,Apartamento,E_Bajo,E_Medio,E_Alto,D_Parques,D_salud,D_Comercios,D_Centros educativos,D_Transmetro ,D_Bus,R_Bajo,R_Medio,R_Alto,S_Bajo,S_Medio,S_Alto,Residencial,Comercial,Institucional,Otros,Densidad
82,0,1,0,0,0,470,256,3,1,2,1,0,0,1,0,324.17,24.99,77.78,170.45,305.09,21.51,0,1,0,0,0,1,1,0,0,0,0.02
83,0,1,0,0,0,180,76,2,1,2,0,1,0,1,0,294.56,132.07,154.90,107.60,252.50,6.26,0,1,0,0,0,1,1,0,0,0,0.02
84,0,1,0,0,0,320,117,5,0,2,1,0,0,1,0,333.64,99.52,132.36,130.19,193.64,10.54,0,1,0,0,0,1,1,0,0,0,0.03
85,0,1,0,0,0,600,256,4,1,2,1,0,0,1,0,397.93,64.46,68.00,69.54,153.82,6.67,0,1,0,0,0,1,1,0,0,0,0.00
86,0,1,0,0,0,376,110,3,1,3,1,0,0,1,0,372.48,112.82,110.34,101.09,197.38,15.39,0,1,0,0,0,1,1,0,0,0,0.03
87,0,1,0,0,0,365,126,3,0,2,1,0,0,1,0,429.94,107.50,137.60,111.71,191.40,53.29,0,1,0,0,0,1,1,0,0,0,0.03
88,0,1,0,0,0,220,99,3,0,2,0,1,0,1,0,453.63,124.17,87.64,59.40,141.78,75.75,1,0,0,0,0,1,1,0,0,0,0.00
89,0,1,0,0,0,750,400,5,2,5,1,0,0,1,0,443.75,213.48,116.78,140.89,110.63,30.72,1,0,0,0,0,1,1,0,0,0,0.02
90,0,0,0,0,1,380,110,3,1,3,1,0,0,1,0,193.42,434.07,174.07,282.16,140.64,4.90,1,0,0,0,0,1,0,1,0,0,0.02
91,0,0,0,0,1,160,70,2,0,1,0,1,0,1,0,120.27,429.79,98.92,212.84,81.53,17.13,0,1,0,0,0,1,1,0,0,0,0.03
92,0,0,0,0,1,395,140,4,1,3,1,0,0,1,0,42.63,359.54,23.34,200.60,8.41,8.05,1,0,0,0,0,1,1,0,0,0,0.03
93,0,0,0,0,1,260,144,3,0,2,0,1,0,1,0,90.86,468.79,114.38,107.66,22.56,14.69,1,0,0,0,0,1,1,0,0,0,0.05
94,0,0,0,0,1,300,180,5,1,3,1,0,0,1,0,146.52,641.59,113.29,189.16,16.89,16.84,0,1,0,0,0,1,0,1,0,0,0.04
95,0,0,0,0,1,350,160,3,0,2,1,0,0,1,0,115.56,483.17,238.65,39.51,204.93,9.55,1,0,0,0,0,1,1,0,0,0,0.03
96,0,0,0,0,1,290,98,3,0,3,0,1,0,1,0,89.36,300.70,110.69,90.91,115.60,18.09,1,0,0,0,0,1,1,0,0,0,0.02
97,0,0,0,0,1,350,243,3,1,2,1,0,0,1,0,35.12,80.17,103.23,113.43,285.56,6.50,1,0,0,0,0,1,1,0,0,0,0.04
98,0,0,0,0,1,420,148,3,1,2,1,0,0,1,0,55.68,95.79,80.29,125.15,309.99,15.81,1,0,0,0,0,1,1,0,0,0,0.04
99,0,0,0,0,1,310,170,5,1,4,1,0,0,1,0,124.37,190.35,167.99,48.86,109.40,29.07,1,0,0,0,0,1,1,0,0,0,0.05
100,0,0,0,0,1,180,64,3,0,1,0,1,0,1,0,125.71,207.45,153.59,66.23,91.17,24.84,1,0,0,0,0,1,1,0,0,0,0.05
